prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(kg/m2/s),evap_surface(kg/m2/s),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2),Soil_Moisture_Sum,Soil_Saturation,soil_awsc_max,Actual_Soil_Saturation,date,AWC,Actual_Soil_Saturation_New,station_id,soil_awc_avg
0.0,28.0,13.21,20.6,340.89,250.87,1.58,1.51,2.19,48.39,,2.34,1.54,0.0,0.4,5.21,70.74,178.54,531.81,786.3,784.76,150,5.231733333,01-01-1980,0.196154148,4000.731108680738,3005,0.1961541475
0.07,28.06,14.49,21.28,357.4,238.01,0.85,0.34,0.92,55.88,,2.11,1.27,0.01,0.38,5.07,70.64,178.39,531.75,785.85,784.65,150,5.231,02-01-1980,0.196154148,4000.17032522853,3005,0.1961541475
0.45,27.19,13.63,20.41,362.47,202.55,-0.35,-1.36,1.4,57.16,,1.71,1.01,0.3,0.35,5.0,70.54,178.24,531.7,785.48,784.92,150,5.2328,03-01-1980,0.196154148,4001.5467937021317,3005,0.1961541475
0.72,26.27,13.38,19.82,366.46,173.07,-2.01,-0.6,2.1,80.77,,1.74,1.4,0.43,0.22,5.41,70.46,178.13,531.66,785.66,784.98,150,5.2332,04-01-1980,0.196154148,4001.8526755851544,3005,0.1961541475
3.11,23.99,14.17,19.08,377.85,119.04,-1.01,-1.73,2.0,84.53,,1.11,1.07,0.94,0.12,7.36,70.41,178.06,531.63,787.46,789.5,150,5.263333333,05-01-1980,0.196154148,4024.8957774395267,3005,0.1961541475
5.68,20.86,13.23,17.05,356.58,141.18,-0.91,-1.21,1.51,75.13,,1.79,1.58,0.77,0.21,8.76,70.36,178.0,531.62,788.74,792.84,150,5.2856,06-01-1980,0.196154148,4041.92320226112,3005,0.1961541475
0.04,22.46,10.73,16.6,319.79,255.61,-0.66,-1.25,1.41,55.52,,2.1,1.7,0.0,0.55,8.42,70.26,177.85,531.57,788.1,786.44,150,5.242933333,07-01-1980,0.196154148,4009.2958014053725,3005,0.1961541475
0.0,25.47,10.42,17.94,319.63,261.69,0.11,-1.62,1.62,55.47,,2.25,1.63,0.0,0.58,8.06,70.16,177.69,531.5,787.41,785.78,150,5.238533333,08-01-1980,0.196154148,4005.931100692123,3005,0.1961541475
0.0,26.69,11.22,18.96,336.23,259.2,-0.16,-0.91,0.92,53.84,,2.26,1.48,0.0,0.57,7.71,70.07,177.55,531.45,786.78,785.3,150,5.235333333,09-01-1980,0.196154148,4003.4840456279417,3005,0.1961541475
0.0,27.12,12.86,19.99,351.0,254.04,0.18,-0.02,0.18,53.78,,2.22,1.38,0.01,0.54,7.39,69.98,177.41,531.39,786.17,784.79,150,5.231933333,10-01-1980,0.196154148,4000.884049622249,3005,0.1961541475
