prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(kg/m2/s),evap_surface(kg/m2/s),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2),Soil_Moisture_Sum,Soil_Saturation,soil_awsc_max,Actual_Soil_Saturation,date,Baseflow
0,29.84,15.64,22.74,348.58,262.66,1.36,1.69,2.17,58.76,,2.37,1.19,0.01,0.8,3.93,51.42,158.36,471,684.71,683.52,150,4.5568,01-01-1980,0
0,29.95,17.23,23.59,354.64,248.63,1.69,0.87,1.9,70.05,,2.32,1.24,0.02,0.75,3.8,51.26,157.96,470.73,683.75,682.51,150,4.550066667,02-01-1980,0
0,29.22,17.18,23.2,351.77,241.13,0.63,-0.34,0.72,73.5,,1.83,0.94,0.38,0.71,3.72,51.11,157.56,470.43,682.82,681.88,150,4.545866667,03-01-1980,0
0.07,29.16,17.33,23.24,363.55,231.22,-1.73,-1.12,2.06,78.77,,1.67,0.9,0.56,0.68,3.98,50.98,157.24,470.15,682.35,681.52,150,4.543466667,04-01-1980,0
0.95,26.3,16.65,21.48,362.92,251.94,-0.72,-0.45,0.85,75.9,,1.95,1.1,0.12,0.74,4.05,50.84,156.87,469.91,681.67,681.52,150,4.543466667,05-01-1980,0
2.1,27.63,16.05,21.84,364.08,198.21,-0.67,-1.85,1.97,73.09,,1.97,1.12,0.17,0.6,4.1,50.73,156.57,469.69,681.09,682.07,150,4.547133333,06-01-1980,0
0,26.57,15.33,20.95,327.35,265.73,-0.57,-1.96,2.04,50.83,,2.07,0.99,0,0.78,3.98,50.58,156.19,469.41,680.16,679.17,150,4.5278,07-01-1980,0
0,27.8,13.65,20.72,303.11,275.67,0.09,-1.86,1.86,52.61,,2.29,1.06,0,0.82,3.81,50.43,155.82,469.13,679.19,678.13,150,4.520866667,08-01-1980,0
0,27.95,12.81,20.38,309.05,274.24,0.06,-1.96,1.96,53.03,,2.31,1.05,0,0.81,3.66,50.28,155.41,468.84,678.19,677.14,150,4.514266667,09-01-1980,0
0,28.16,13.1,20.63,317.85,273.23,-0.97,-1.93,2.16,50.33,,2.38,1.06,0,0.79,3.51,50.13,155,468.53,677.17,676.11,150,4.5074,10-01-1980,0
0,28.58,14.16,21.37,331.35,264.98,0.13,-0.61,0.62,63.54,,2.45,1.06,0,0.74,3.37,50,154.63,468.22,676.22,675.16,150,4.501066667,11-01-1980,0
0,29.51,15.35,22.43,338.98,271,0.76,-0.31,0.82,62.87,,2.44,1.09,0,0.72,3.24,49.87,154.26,467.92,675.29,674.2,150,4.494666667,12-01-1980,0
0,29.43,15.98,22.7,350.7,267.4,-0.02,-0.74,0.74,65.05,,2.41,0.99,0,0.72,3.12,49.73,153.9,467.66,674.41,673.42,150,4.489466667,13-01-1980,0
0,29.59,15.9,22.74,355.01,260.3,0.25,-1.36,1.38,56.59,,2.23,0.9,0,0.72,3.02,49.59,153.53,467.33,673.47,672.57,150,4.4838,14-01-1980,0
0,29.83,16.62,23.22,356.62,211.82,0.05,-0.25,0.25,60.28,,2.34,0.92,0,0.7,2.91,49.46,153.15,467.02,672.54,671.62,150,4.477466667,15-01-1980,0
0,29.72,16.53,23.12,355.52,266.95,0.69,-0.8,1.06,58.45,,2.33,0.9,0,0.67,2.82,49.34,152.81,466.7,671.67,670.77,150,4.4718,16-01-1980,0
0,29.71,16.18,22.94,353.29,271.38,0.7,-0.65,0.96,56.53,,2.36,0.89,0,0.67,2.71,49.21,152.46,466.43,670.81,669.92,150,4.466133333,17-01-1980,0
0,30.35,16.62,23.48,355.56,269.09,-0.23,-0.92,0.95,57.86,,2.5,1.11,0,0.63,2.61,49.1,152.11,466.14,669.96,668.85,150,4.459,18-01-1980,0
0,30.59,16.45,23.52,338.72,277.03,-0.23,-0.35,0.42,62.23,,2.57,0.99,0,0.6,2.52,48.98,151.81,465.83,669.14,668.15,150,4.454333333,19-01-1980,0
0,30.63,16.39,23.51,344.18,277.98,-0.13,-1.04,1.05,50.36,,2.59,0.94,0,0.61,2.43,48.88,151.47,465.47,668.25,667.31,150,4.448733333,20-01-1980,0
0,30.83,16.64,23.74,355.23,276.56,0.3,-0.74,0.8,49.2,,2.45,0.85,0,0.59,2.34,48.77,151.17,465.2,667.48,666.63,150,4.4442,21-01-1980,0
0,30.89,16.97,23.93,352.8,274.18,1.13,-0.44,1.21,48.98,,2.58,0.88,0.01,0.64,2.26,48.66,150.84,464.9,666.66,665.78,150,4.438533333,22-01-1980,0
0,30.99,17.51,24.25,356.54,242.16,2.09,-1.08,2.35,50.95,,2.41,0.8,0.45,0.69,2.25,48.53,150.47,464.61,665.86,665.06,150,4.433733333,23-01-1980,0
0,30.83,15.73,23.28,318.32,286.12,-0.24,-1.65,1.67,42.22,,2.5,0.88,0,0.64,2.18,48.42,150.12,464.26,664.98,664.1,150,4.427333333,24-01-1980,0
0,30.11,14.44,22.28,311.54,289.99,-0.42,-1.23,1.3,38.19,,2.53,0.81,0,0.62,2.11,48.32,149.81,463.99,664.23,663.42,150,4.4228,25-01-1980,0
0,30.67,15.41,23.04,325.2,287.14,0.75,-1.11,1.34,49.26,,2.59,0.8,0,0.65,2.04,48.22,149.51,463.68,663.45,662.65,150,4.417666667,26-01-1980,0
0,30.74,15.86,23.3,340.06,285.15,1,-0.17,1.01,50.55,,2.59,0.78,0,0.64,1.98,48.12,149.2,463.38,662.68,661.9,150,4.412666667,27-01-1980,0
0,31.81,17.27,24.54,351.97,278.96,2.53,-0.02,2.53,45.91,,2.34,0.69,0,0.65,1.93,48.01,148.86,463.09,661.89,661.2,150,4.408,28-01-1980,0
0,31.42,16.72,24.07,319.12,292.12,1.59,-2.3,2.8,33.27,,2.63,0.75,0,0.68,1.88,47.9,148.54,462.78,661.1,660.35,150,4.402333333,29-01-1980,0
0,30.46,14.46,22.46,304.13,297.89,0.59,-1.66,1.76,34.83,,2.53,0.71,0,0.65,1.82,47.8,148.21,462.47,660.3,659.59,150,4.397266667,30-01-1980,0
0,29.69,14.01,21.85,309.91,296.42,0.35,-1.09,1.14,37.11,,2.59,0.71,0,0.62,1.77,47.69,147.89,462.12,659.47,658.76,150,4.391733333,31-01-1980,0
0,30.07,15.38,22.72,332.09,293.74,0.51,-0.25,0.57,48.29,,2.65,0.71,0,0.6,1.72,47.59,147.59,461.83,658.73,658.02,150,4.3868,01-02-1980,0
0,30.71,17.22,23.96,357.77,257.23,1.73,2.25,2.84,56.49,,2.65,0.69,0.1,0.7,1.7,47.5,147.27,461.55,658.02,657.33,150,4.3822,02-02-1980,0
0,31.31,18.54,24.92,357.09,284.89,1.49,2.06,2.54,51.86,,2.39,0.67,0,0.7,1.67,47.39,146.93,461.26,657.25,656.58,150,4.3772,03-02-1980,0
0,31.4,18.25,24.82,351.5,284.73,1.58,2.11,2.64,53.63,,2.62,0.66,0,0.67,1.64,47.28,146.6,460.96,656.48,655.82,150,4.372133333,04-02-1980,0
0,31.78,18.5,25.14,353.98,289.1,1.92,0.94,2.14,51.7,,2.27,0.55,0,0.67,1.62,47.19,146.31,460.62,655.74,655.19,150,4.367933333,05-02-1980,0
0,31.87,18.04,24.96,343.4,291.69,1.53,-2.04,2.55,35.37,,2.42,0.58,0.01,0.61,1.61,47.09,146,460.33,655.03,654.45,150,4.363,06-02-1980,0
0,31.1,16.81,23.96,319.31,303.81,0.18,-2.04,2.05,24.62,,2.78,0.64,0,0.64,1.6,47.01,145.72,460.02,654.35,653.71,150,4.358066667,07-02-1980,0
0,31.01,15.48,23.24,316.58,305.71,0.19,-1.11,1.13,26.86,,2.74,0.62,0,0.62,1.59,46.91,145.41,459.67,653.58,652.96,150,4.353066667,08-02-1980,0
0,31.06,16.1,23.58,341.74,301.59,0.86,-0.65,1.08,44.91,,2.78,0.62,0.01,0.63,1.59,46.83,145.13,459.42,652.97,652.35,150,4.349,09-02-1980,0
0,31.11,17.74,24.42,357.38,263.85,1.4,-1.33,1.93,63.24,,2.21,0.61,1.03,0.61,1.8,46.75,144.83,459.15,652.53,651.92,150,4.346133333,10-02-1980,0
0,30.64,17.39,24.02,359.91,295.59,0.4,-1.05,1.12,33.74,,2.73,0.59,0.03,0.62,1.76,46.67,144.59,458.87,651.89,651.3,150,4.342,11-02-1980,0
0,31.48,17.36,24.42,329.82,309.8,0.01,-1.66,1.66,31.04,,2.86,0.6,0,0.62,1.72,46.59,144.32,458.51,651.14,650.54,150,4.336933333,12-02-1980,0
0,32.07,17.12,24.6,321.69,314.22,0.03,-1.36,1.36,36.43,,2.84,0.58,0,0.61,1.68,46.51,144.05,458.22,650.46,649.88,150,4.332533333,13-02-1980,0
0,31.93,17.25,24.59,343.15,311.36,1.1,-0.28,1.14,44.88,,2.97,0.59,0,0.58,1.65,46.44,143.79,457.98,649.86,649.27,150,4.328466667,14-02-1980,0
0,32.34,19.13,25.74,360.32,294.08,1.27,1.11,1.69,62.24,,2.61,0.57,0.03,0.66,1.72,46.35,143.49,457.65,649.21,648.64,150,4.324266667,15-02-1980,0
0.04,31.35,18.92,25.14,362.27,277.03,1.44,1.53,2.1,53.85,,2.64,0.53,0.49,0.64,1.71,46.27,143.21,457.33,648.52,648.03,150,4.3202,16-02-1980,0
0,31.81,18.16,24.98,347.62,301.46,2.5,-1.02,2.7,30.42,,2.86,0.54,0.08,0.67,1.68,46.19,142.95,457.04,647.86,647.32,150,4.315466667,17-02-1980,0
0,32.95,17.67,25.31,323.96,318.96,0.67,-1.5,1.64,30.32,,2.97,0.54,0,0.61,1.64,46.12,142.7,456.78,647.24,646.7,150,4.311333333,18-02-1980,0
0,33.09,17.87,25.48,331.24,319.24,0.6,-1.16,1.31,30.76,,2.95,0.52,0,0.59,1.61,46.06,142.46,456.49,646.62,646.1,150,4.307333333,19-02-1980,0
0,33.63,19.44,26.54,351.96,316.78,0.19,-0.98,1,43.09,,2.89,0.49,0,0.62,1.59,45.99,142.24,456.22,646.04,645.55,150,4.303666667,20-02-1980,0
0,33.61,19.33,26.47,339.74,319.64,-0.46,-0.82,0.94,34.13,,3.09,0.51,0,0.59,1.59,45.93,142,455.94,645.46,644.95,150,4.299666667,21-02-1980,0
0,34.37,18.84,26.6,342.21,321.89,1.42,0.19,1.43,34.05,,3.13,0.5,0,0.63,1.58,45.87,141.77,455.69,644.91,644.41,150,4.296066667,22-02-1980,0
0,34.79,19.06,26.92,346.49,322.64,1.75,-1.02,2.03,39.62,,3.19,0.5,0,0.63,1.58,45.81,141.55,455.41,644.35,643.85,150,4.292333333,23-02-1980,0
0,35.46,19.74,27.6,342.32,322.97,1.79,-1.29,2.21,29.11,,3.11,0.47,0,0.65,1.58,45.74,141.33,455.14,643.79,643.32,150,4.2888,24-02-1980,0
0,35.71,19.45,27.58,332.97,328.38,1.54,-1.93,2.47,26.4,,3.12,0.52,0,0.64,1.58,45.68,141.11,454.89,643.26,642.74,150,4.284933333,25-02-1980,0
0,34.4,17.71,26.06,321.89,332.2,1.19,-1.74,2.11,24.53,,3.07,0.45,0,0.64,1.58,45.62,140.87,454.64,642.71,642.26,150,4.281733333,26-02-1980,0
0,34.31,16.92,25.62,319.53,335.56,-0.09,-1.43,1.43,27.24,,3.13,0.44,0,0.64,1.58,45.57,140.66,454.33,642.14,641.7,150,4.278,27-02-1980,0
0,35.47,17.84,26.66,331.07,335.69,1.13,0.82,1.4,27.82,,3.28,0.45,0,0.6,1.58,45.51,140.42,454.07,641.58,641.13,150,4.2742,28-02-1980,0
0,36.36,20.54,28.45,361.38,318.57,1.67,2.7,3.17,42.51,,3.08,0.5,0.07,0.65,1.76,45.43,140.15,453.74,641.08,640.58,150,4.270533333,29-02-1980,0
0,36.03,20.72,28.38,368.55,325.25,2.36,1.09,2.6,50.29,,3.15,0.46,0.71,0.65,2.02,45.36,139.9,453.47,640.75,640.29,150,4.2686,01-03-1980,0
0,35.07,17.88,26.48,316.27,340.94,1.37,-0.97,1.68,38.32,,3.18,0.41,0.05,0.71,2.08,45.3,139.67,453.17,640.22,639.81,150,4.2654,02-03-1980,0
0,34.36,16.35,25.36,325.54,340.51,1.73,-0.79,1.9,29.61,,3.28,0.41,0,0.67,1.99,45.25,139.46,452.93,639.63,639.22,150,4.261466667,03-03-1980,0
0,36.32,18.89,27.6,343.73,337.18,2.26,-2.3,3.22,24.41,,3.37,0.41,0,0.64,1.91,45.19,139.25,452.64,638.99,638.58,150,4.2572,04-03-1980,0
0,36.39,19.61,28,345.41,339.02,0.03,-1.14,1.14,26.61,,3.38,0.4,0,0.61,1.83,45.15,139.07,452.4,638.45,638.05,150,4.253666667,05-03-1980,0
0,37.07,20.92,29,362.64,336.31,1.81,1.33,2.25,30.48,,3.25,0.37,0,0.61,1.76,45.1,138.87,452.15,637.88,637.51,150,4.250066667,06-03-1980,0
0,37.42,22.88,30.15,384.5,304.38,2.06,2.58,3.3,34.16,,3,0.35,0.1,0.61,1.82,45.04,138.64,451.87,637.37,637.02,150,4.2468,07-03-1980,0
0,35.9,22.79,29.34,388.38,202.66,1.61,1.3,2.07,66.81,,1.68,0.43,1.9,0.69,3.72,44.98,138.43,451.66,638.79,638.36,150,4.255733333,08-03-1980,0
0,34.04,19.73,26.88,357.37,319.86,2.14,1.92,2.88,53.84,,2.65,0.49,0.5,0.8,3.75,44.91,138.17,451.37,638.2,637.71,150,4.2514,09-03-1980,0
0.19,34.57,18.71,26.64,360.59,339.29,1.14,0.99,1.51,51.22,,3.11,0.46,0.04,0.84,3.52,44.86,137.95,451.04,637.37,637.1,150,4.247333333,10-03-1980,0
0,35.12,20.83,27.98,375.64,319.27,-0.29,1.97,1.99,45,,3.25,0.39,0.49,0.78,3.41,44.8,137.72,450.76,636.69,636.3,150,4.242,11-03-1980,0
0.2,34.62,20.86,27.74,379.3,304.07,-0.6,-0.33,0.68,52.21,,2.99,0.35,1.12,0.77,3.8,44.74,137.5,450.48,636.52,636.37,150,4.242466667,12-03-1980,0
0,34.32,20.51,27.42,369.66,323.79,-1.3,-1.79,2.21,29.91,,3.15,0.36,0.14,0.83,3.72,44.69,137.28,450.19,635.88,635.52,150,4.2368,13-03-1980,0
0.06,34.94,21.23,28.08,364.92,334.68,-0.78,-1.52,1.71,36.14,,3.31,0.36,0.05,0.8,3.58,44.64,137.05,449.91,635.18,634.88,150,4.232533333,14-03-1980,0
1.36,35.32,19.57,27.44,356.52,347.7,-0.05,-0.44,0.44,36.38,,3.54,0.36,0,0.75,3.29,44.59,136.89,449.67,634.44,635.44,150,4.236266667,15-03-1980,0
0,35.93,20.45,28.19,360.41,347.16,1.41,-0.87,1.66,46,,3.39,0.58,0.05,0.76,3.16,44.54,136.67,449.35,633.72,633.14,150,4.220933333,16-03-1980,0
0.13,36.59,21.43,29.01,365.07,332.34,1.87,-0.12,1.87,45.59,,3.6,0.45,0.05,0.73,3.15,44.48,136.43,449.06,633.12,632.8,150,4.218666667,17-03-1980,0
0,36.64,21.52,29.08,372.71,346.05,0.83,0.69,1.08,45.48,,3.4,0.33,0.17,0.66,3.15,44.44,136.26,448.82,632.67,632.34,150,4.2156,18-03-1980,0
0,36.9,21.73,29.32,375.64,296.2,0.74,0.67,1,41.36,,3.07,0.29,0.46,0.69,3.27,44.4,136.08,448.58,632.33,632.04,150,4.2136,19-03-1980,0
0,36.67,21.93,29.3,373.43,349.65,1.62,0.1,1.62,39.2,,3.45,0.32,0.03,0.68,3.1,44.36,135.9,448.35,631.71,631.39,150,4.209266667,20-03-1980,0
0,37.72,22.12,29.92,369.81,350.4,1.15,-1.1,1.59,36.14,,3.5,0.31,0.02,0.61,2.94,44.32,135.76,448.13,631.15,630.84,150,4.2056,21-03-1980,0
0,37.84,22.37,30.11,367.78,352.29,2.08,-0.29,2.1,31.91,,3.48,0.3,0.01,0.66,3.11,44.28,135.55,447.9,630.84,630.54,150,4.2036,22-03-1980,0
0,38.46,23.18,30.82,378.59,348.86,1.57,0.36,1.61,38.82,,3.58,0.3,0.19,0.6,3.04,44.24,135.4,447.66,630.34,630.04,150,4.200266667,23-03-1980,0
0,39.29,23.81,31.55,376.97,350.08,0.89,1.49,1.74,29.76,,3.46,0.29,0.05,0.66,3,44.2,135.24,447.42,629.86,629.57,150,4.197133333,24-03-1980,0
0,39.08,23.77,31.42,386.34,350.57,1.19,1.76,2.12,38.51,,3.64,0.29,0.27,0.55,3.25,44.17,135.08,447.2,629.7,629.41,150,4.196066667,25-03-1980,0
0,39.38,24.38,31.88,389.28,350.67,1.58,1.29,2.04,48.93,,3.47,0.26,0.27,0.71,3.81,44.12,134.91,446.93,629.77,629.51,150,4.196733333,26-03-1980,0
0,38.75,24.09,31.42,387.15,347.08,0.02,0,0.02,52.67,,3.19,0.24,0.28,0.75,4.17,44.09,134.73,446.68,629.67,629.43,150,4.1962,27-03-1980,0
0.3,37.86,24.12,30.99,391.93,322.94,0.61,0.97,1.15,49.49,,3.7,0.27,0.22,0.89,4.78,44.05,134.55,446.45,629.83,629.86,150,4.199066667,28-03-1980,0
0.48,38.41,23.87,31.14,389.61,278.45,1.43,2.54,2.91,48.44,,3.17,0.22,0.1,0.94,4.86,44,134.36,446.2,629.42,629.68,150,4.197866667,29-03-1980,0
0,37.35,24.97,31.16,390.88,280.89,1.47,1.46,2.07,46.7,,3.37,0.48,3.41,0.96,5.49,43.94,134.13,445.86,629.42,628.94,150,4.192933333,30-03-1980,0
0,37.39,24.25,30.82,396.08,310.93,1.28,0.94,1.59,50.28,,3.56,0.38,1.62,1.05,6.34,43.9,133.96,445.62,629.82,629.44,150,4.196266667,31-03-1980,0
0.16,38.23,24.66,31.44,400.06,333.85,0.95,1.82,2.05,59.46,,3.39,0.66,1.91,1.12,7.41,43.86,133.74,445.33,630.34,629.84,150,4.198933333,01-04-1980,0
11.39,37.78,23.57,30.68,397.6,335.73,0.13,1.75,1.75,59.47,,3.48,1.32,1.66,1.32,9.51,43.81,133.56,445.08,631.96,642.03,150,4.2802,02-04-1980,0
0,36.67,22.09,29.38,391.17,152.36,1.24,1.77,2.16,67.02,,2.92,1.43,0.47,1.33,10.91,43.76,133.36,444.82,632.85,631.42,150,4.209466667,03-04-1980,0
0,35.46,22.53,29,369.54,365.95,-0.2,0.8,0.82,43.36,,3.53,1.65,0.03,2.04,9.35,43.72,133.19,444.58,630.84,629.19,150,4.1946,04-04-1980,0
0,36.95,24.15,30.55,381.32,360.08,0.05,1.02,1.02,53.58,,3.61,2.05,0.07,1.65,8.81,43.68,133,444.31,629.8,627.75,150,4.185,05-04-1980,0
3.99,37.36,22.75,30.06,385.37,331.85,-1.6,0.38,1.64,47.39,,3.49,2.19,1.28,1.61,8.25,43.64,132.8,444.06,628.75,630.55,150,4.203666667,06-04-1980,0
0,36.26,22.68,29.47,384.07,354.63,-0.38,-0.25,0.45,46.94,,3.67,2,0.5,1.53,7.62,43.6,132.63,443.81,627.66,625.66,150,4.171066667,07-04-1980,0
0,37.24,23.54,30.39,390.75,349.94,0.59,0.92,1.09,36.73,,3.61,1.44,0.92,1.47,6.84,43.57,132.47,443.58,626.46,625.02,150,4.1668,08-04-1980,0
0,39.05,24.67,31.86,390.57,357.6,1.33,1.09,1.72,33,,3.68,1.21,0.35,1.3,6.25,43.54,132.33,443.35,625.47,624.26,150,4.161733333,09-04-1980,0
0,40.58,25.61,33.1,400.34,360.26,1.57,2.34,2.82,34.81,,3.71,0.86,0.5,1.17,6.24,43.5,132.17,443.13,625.04,624.18,150,4.1612,10-04-1980,0
0,41.03,26.05,33.54,393.12,367.85,1.8,2.02,2.71,30.28,,3.72,0.62,0.05,1.16,5.52,43.47,132,442.93,623.92,623.3,150,4.155333333,11-04-1980,0
0,41.03,25.9,33.47,396.2,352.45,1.79,0.48,1.85,34.12,,3.83,0.47,0.9,1.01,5.43,43.43,131.87,442.69,623.42,622.95,150,4.153,12-04-1980,0
0,40.86,25.46,33.16,397.51,320.22,1.74,0.76,1.9,32.25,,3.9,0.4,0.95,0.95,5.08,43.41,131.74,442.46,622.69,622.29,150,4.1486,13-04-1980,0
0,41.39,25.83,33.61,402.87,330,0.72,0.92,1.17,34.57,,3.68,0.35,0.17,0.87,4.61,43.38,131.63,442.28,621.9,621.55,150,4.143666667,14-04-1980,0
0,40.9,25.48,33.19,412.07,317.26,2.91,-0.61,2.97,44.44,,3.49,0.53,2.84,0.85,5.52,43.35,131.49,442.1,622.46,621.93,150,4.1462,15-04-1980,0
6.46,39.86,24.85,32.36,404.35,365.59,1.86,1.08,2.15,50.12,,3.32,1.08,0.6,1.18,6.92,43.32,131.34,441.88,623.46,628.84,150,4.192266667,16-04-1980,0
0,36.87,23.44,30.16,389.61,362.88,0.31,0.89,0.94,34.97,,3.55,0.84,0.86,1.37,6.78,43.29,131.17,441.67,622.91,622.07,150,4.147133333,17-04-1980,0
0,39.45,25.7,32.58,400.92,349.11,0.89,1.82,2.03,40.3,,3.62,0.91,0.08,1.25,6.5,43.26,131.03,441.43,622.22,621.31,150,4.142066667,18-04-1980,0
0.57,40,26.36,33.18,398.35,370.21,1.21,1.45,1.89,37.83,,3.34,0.58,0.32,1.19,6.08,43.22,130.89,441.19,621.38,621.37,150,4.142466667,19-04-1980,0
0,40.6,26.27,33.44,397.78,343.25,1.76,1.22,2.14,34.59,,3.86,0.55,0.02,1.24,6.55,43.19,130.74,440.98,621.46,620.91,150,4.1394,20-04-1980,0
0,41.55,26.48,34.02,397.37,374.4,1.32,1.46,1.97,31.28,,3.74,0.36,0.04,1.23,5.97,43.16,130.6,440.79,620.52,620.16,150,4.1344,21-04-1980,0
0,41.7,28.52,35.11,405.24,373.51,1.85,1.76,2.55,36.12,,3.63,0.89,0.19,1.06,5.69,43.14,130.46,440.59,619.88,618.99,150,4.1266,22-04-1980,0
0.13,42.06,27.3,34.68,415.8,365.88,1.76,2.11,2.75,36.93,,4.14,0.94,0.45,1.05,5.63,43.11,130.33,440.4,619.47,618.66,150,4.1244,23-04-1980,0
0,41.06,27.26,34.16,405.24,370.97,1.88,1.39,2.34,32.59,,4.12,0.61,0.11,1.02,5.03,43.09,130.22,440.23,618.57,617.96,150,4.119733333,24-04-1980,0
0,41.51,25.75,33.63,385.33,381.43,2.84,0.8,2.95,23.63,,4.03,0.42,0,0.87,4.4,43.07,130.14,440.04,617.65,617.23,150,4.114866667,25-04-1980,0
0,41.69,25.31,33.5,387.06,383.42,2.17,0.25,2.18,22.05,,4.17,0.34,0,0.73,3.85,43.05,130.05,439.94,616.89,616.55,150,4.110333333,26-04-1980,0
0,41.59,26.74,34.16,399.16,380.11,2.33,2.04,3.1,32.29,,3.71,0.3,0.05,0.69,3.9,43.02,129.9,439.74,616.56,616.26,150,4.1084,27-04-1980,0
0.01,40.89,26.69,33.79,403.36,307.55,1.94,1.33,2.35,33.03,,3.74,0.36,1.96,0.75,4.55,42.99,129.78,439.52,616.84,616.49,150,4.109933333,28-04-1980,0
0,40.66,25.76,33.21,399.37,371.66,1.09,1.23,1.64,34.78,,3.68,0.78,0.12,0.89,5.27,42.96,129.63,439.29,617.15,616.37,150,4.109133333,29-04-1980,0
0,40.75,26.5,33.62,391.93,382.67,1.18,1.68,2.05,33.68,,3.74,0.79,0.04,0.96,5.01,42.94,129.51,439.1,616.56,615.77,150,4.105133333,30-04-1980,0
1.17,40.57,24.73,32.65,399.02,380.95,1.4,1.78,2.26,37.27,,3.96,1,0.16,0.94,5.13,42.91,129.39,438.89,616.32,616.49,150,4.109933333,01-05-1980,0
0.19,40.08,27.11,33.6,404.67,312.1,1.06,0.46,1.16,49.92,,4.03,1.15,0.82,0.85,5.53,42.89,129.25,438.71,616.38,615.42,150,4.1028,02-05-1980,0
