prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(kg/m2/s),evap_surface(kg/m2/s),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2),Soil_Moisture_Sum,Soil_Saturation,soil_awsc_max,Actual_Soil_Saturation,date,3105
0,29.98,17.9,23.94,350.81,264.57,0.54,2.8,2.85,56.32,,2.56,1.36,0.01,0.82,2.93,52.49,153.61,440.75,649.78,648.42,150,4.3228,01-01-1980,7.1
0,29.41,18.1,23.76,355.67,261.15,0.8,1.43,1.64,65.63,,2.21,1.36,0,0.77,2.86,52.3,153.2,440.42,648.78,647.42,150,4.316133333,02-01-1980,6.863333333
0,28.96,17.95,23.46,366.3,261.61,0.75,1.61,1.78,64.6,,2.26,1.25,0.07,0.76,2.82,52.11,152.77,440.09,647.79,646.54,150,4.310266667,03-01-1980,6.713444444
0,29.07,18.14,23.6,369.26,247.98,-0.61,0.82,1.02,70.87,,2.08,1.13,0.44,0.75,2.89,51.94,152.36,439.73,646.92,645.79,150,4.305266667,04-01-1980,6.618514815
0,28.7,18.42,23.56,363.55,248.3,-0.45,0.86,0.97,68.25,,2.35,1.18,0.46,0.76,2.91,51.77,151.96,439.38,646.02,644.84,150,4.298933333,05-01-1980,6.558392716
0,28.8,18.65,23.72,368.95,242.37,-0.41,-1.19,1.26,72.75,,2.1,1.11,0.09,0.74,3.05,51.62,151.6,439.13,645.4,644.29,150,4.295266667,06-01-1980,6.520315387
0,28.11,18.43,23.27,350.05,228.57,-0.5,-1.48,1.56,54.37,,2.2,1.09,0,0.8,2.97,51.44,151.18,438.79,644.38,643.29,150,4.2886,07-01-1980,6.496199745
0,28.72,17.18,22.95,314.75,276.41,0.31,-1.73,1.76,49.75,,2.32,1.1,0,0.83,2.88,51.27,150.74,438.44,643.33,642.23,150,4.281533333,08-01-1980,6.480926505
0,28.66,15.89,22.28,316.05,277.35,-0.39,-1.43,1.48,50.39,,2.47,1.15,0,0.83,2.79,51.09,150.32,438.04,642.24,641.09,150,4.273933333,09-01-1980,6.471253453
0,28.59,15.5,22.04,325.41,276.41,-0.1,-1.45,1.45,52.85,,2.55,1.16,0,0.79,2.71,50.93,149.92,437.69,641.25,640.09,150,4.267266667,10-01-1980,6.465127187
