gauge_id,umap_40d_dim_1,umap_40d_dim_2,umap_40d_dim_3,umap_40d_dim_4,umap_40d_dim_5,umap_40d_dim_6,umap_40d_dim_7,umap_40d_dim_8,umap_40d_dim_9,umap_40d_dim_10,umap_40d_dim_11,umap_40d_dim_12,umap_40d_dim_13,umap_40d_dim_14,umap_40d_dim_15,umap_40d_dim_16,umap_40d_dim_17,umap_40d_dim_18,umap_40d_dim_19,umap_40d_dim_20,umap_40d_dim_21,umap_40d_dim_22,umap_40d_dim_23,umap_40d_dim_24,umap_40d_dim_25,umap_40d_dim_26,umap_40d_dim_27,umap_40d_dim_28,umap_40d_dim_29,umap_40d_dim_30,umap_40d_dim_31,umap_40d_dim_32,umap_40d_dim_33,umap_40d_dim_34,umap_40d_dim_35,umap_40d_dim_36,umap_40d_dim_37,umap_40d_dim_38,umap_40d_dim_39,umap_40d_dim_40
3002,-3.7094054,4.9391694,6.0450745,4.1875253,1.2104194,8.509295,8.4213505,2.9137592,1.8572983,7.043719,2.4973588,4.3261657,6.0330944,7.1001687,7.230402,1.6157644,2.438784,3.1064095,8.664128,4.512183,9.427652,8.479273,7.2120743,4.834806,4.5885677,4.64975,2.2338398,6.0494933,4.852725,1.1994959,2.6770277,6.5141683,5.011377,4.1801553,6.917751,3.5702848,8.882603,7.0641465,4.5677505,9.176983
3005,-3.499661,4.543972,5.9656553,5.0283237,0.7061361,8.34648,8.268499,2.4319286,2.560094,6.8356667,1.9464077,3.3049147,6.6597977,7.3250113,7.154842,2.030415,2.6886108,2.9368863,7.6905365,5.6408525,8.842892,8.822842,7.3240047,4.794562,4.650126,3.9376369,2.4124243,6.328551,4.713882,1.2966455,2.429766,6.7832065,4.672952,4.1969423,6.8552785,3.5883532,9.211179,6.8691363,4.912944,8.680315
3008,-3.4729846,4.5799055,5.9497905,5.2303667,0.61203396,8.087058,8.073269,2.3351989,2.5197105,6.5876274,1.770774,3.1833467,6.86426,7.298967,7.2526107,1.9740605,2.923144,2.7889013,7.4560585,5.8313794,8.650054,8.860223,7.396229,4.701381,4.857658,3.7932372,2.484789,6.333153,4.8068557,1.4105111,2.3556058,6.9406915,4.636472,4.337549,6.81637,3.4700766,9.033112,6.7956047,4.965908,8.556121
3009,-3.5242336,4.670238,5.908631,5.5725827,0.46524686,7.597407,7.6589713,2.2675219,2.322654,6.082173,1.4889618,3.055995,7.251469,7.1858253,7.516784,1.7717557,3.3825073,2.5314076,7.091552,6.174399,8.302189,8.844749,7.5927525,4.5029745,5.322057,3.571003,2.6857743,6.2669997,5.0030713,1.6628059,2.2010143,7.2590356,4.5976214,4.586842,6.795981,3.2472796,8.606004,6.61675,5.010352,8.38338
3013,-3.5251718,4.809454,6.0167885,4.987476,0.8809317,7.819105,7.9367704,2.479635,2.0426373,6.4299994,1.8670924,3.6917894,6.707834,7.2208037,7.3795395,1.7271466,3.0717874,2.6835268,7.7951202,5.236115,8.840325,8.70103,7.368588,4.6584835,5.112529,4.1303744,2.4443629,6.1795807,4.9784355,1.5141411,2.4903069,6.975367,4.72723,4.5590053,6.7767463,3.2413266,8.677924,6.907813,4.7748117,8.6616745
3014,-3.4514956,4.826401,5.9757423,5.2570252,0.5688762,7.880534,7.9728045,2.3874872,2.3699107,6.3071995,1.706558,3.2631228,6.9280457,7.231098,7.3696303,1.8436025,3.162969,2.7129524,7.4465604,5.7663546,8.558511,8.810587,7.5486097,4.628501,5.12216,3.8797657,2.4683287,6.2488422,4.9261847,1.3832386,2.3983097,6.955901,4.72468,4.5105066,6.803597,3.349862,8.735487,6.6679864,4.9396,8.541366
3017,-3.688744,4.9459023,6.09632,4.1738067,1.2494069,8.472154,8.441549,2.8906236,1.8348893,7.084245,2.511492,4.340283,5.9841256,7.0883207,7.2410693,1.5983672,2.4213262,3.077525,8.678227,4.5581493,9.470086,8.442326,7.1939983,4.8839364,4.5922375,4.6837626,2.212936,6.081061,4.8103228,1.195768,2.7280822,6.4931602,5.0461965,4.2025404,6.893951,3.523068,8.889276,7.1019917,4.530982,9.166439
3018,-3.6047425,4.8906407,6.1319237,4.4212704,1.1140205,8.3746805,8.382872,2.7619796,2.0128882,7.0019045,2.349851,4.0722136,6.1436176,7.1385903,7.2523394,1.6571853,2.5653293,3.0584896,8.426172,4.6859155,9.360681,8.5093975,7.2711186,4.8795304,4.68359,4.626386,2.2250464,6.1335397,4.7709656,1.2091041,2.7574296,6.546536,4.998177,4.249344,6.860077,3.4437597,8.950747,7.0064006,4.5831933,9.035798
3019,-3.4964964,4.5431023,5.8990602,5.6510353,0.45824337,7.591635,7.6379004,2.1746964,2.3973007,6.1375184,1.4368176,2.9559975,7.300315,7.2364616,7.473992,1.8325576,3.3423297,2.4932368,6.991319,6.262616,8.28491,8.892013,7.5263352,4.516578,5.262461,3.4639685,2.7052927,6.3306756,4.977113,1.7266939,2.1535234,7.319582,4.5230303,4.573006,6.7590528,3.246432,8.720162,6.672631,5.041643,8.319162
3020,-3.4506972,4.3739223,5.8660984,5.571642,0.4949381,7.8679924,7.8197546,2.1278102,2.5625336,6.4565506,1.5088022,2.8919518,7.1698966,7.314044,7.314906,1.9478191,3.079241,2.5935674,7.073947,6.19356,8.398051,8.9745035,7.4052644,4.5893373,4.943488,3.4525168,2.6532037,6.4283776,4.8679996,1.6494955,2.1520422,7.229334,4.4959126,4.417774,6.744618,3.3846745,9.043689,6.772624,5.07876,8.341021
