No such comm: d869d202a2ff430aac2af63d8fa68eca
No such comm: b64a24598048477eabf105bbacd494d6
No such comm: 33488abf406b4a44a169ccf32f503986
No such comm: 688fffb67ee247e9ba6cb55ebe28d8bd
No such comm: 3a666dd97c7e4461b9650e695fe6b084
No such comm: ed9d1a94878e4202bff385963ff73d24
No such comm: fe631f498d914036a8f0e5ef882777b2
No such comm: f39dbdb2fee9493ab858c941a2cb96fc
No such comm: 3bb12a3a5bdf441187946499699de18e
No such comm: 1707d2e054a348f98a8634b12a780a78
No such comm: 7d9ff343d82c44e1b9407d1f6c7f7ff7
No such comm: c5af907d033f49079e0cb6301c0a7e9c
No such comm: ca2ed6c7fadd4c27836faaafcedaec50
No such comm: c374a059f4eb4c2ab6891038ff58c06e
No such comm: e252d5879a8546ff92225ae78edebf19
No such comm: 702f7d3f5e8948d4ad4a31c9119fbbe8
Epoch 1, Train Loss: 1132.9460, Val Loss: 1518.7572
Epoch 2, Train Loss: 931.6155, Val Loss: 1406.0848
Epoch 3, Train Loss: 841.5606, Val Loss: 1313.7794
Epoch 4, Train Loss: 769.3045, Val Loss: 1245.3493
Epoch 5, Train Loss: 708.6328, Val Loss: 1169.3681
Epoch 6, Train Loss: 650.6453, Val Loss: 1114.7252
Epoch 7, Train Loss: 600.2961, Val Loss: 1055.8164
Epoch 8, Train Loss: 553.9482, Val Loss: 1006.7456
Epoch 9, Train Loss: 511.8511, Val Loss: 955.3579
Epoch 10, Train Loss: 474.7727, Val Loss: 918.7568
Epoch 11, Train Loss: 441.6771, Val Loss: 873.4057
Epoch 12, Train Loss: 411.4432, Val Loss: 837.2381
Epoch 13, Train Loss: 383.8038, Val Loss: 805.7514
Epoch 14, Train Loss: 359.0479, Val Loss: 777.2329
Epoch 15, Train Loss: 335.0140, Val Loss: 747.6493
Epoch 16, Train Loss: 314.2956, Val Loss: 711.8993
Epoch 17, Train Loss: 296.6006, Val Loss: 685.3763
Epoch 18, Train Loss: 278.4606, Val Loss: 660.5140
Epoch 19, Train Loss: 262.8029, Val Loss: 634.2307
Epoch 20, Train Loss: 248.6009, Val Loss: 630.8237
Epoch 21, Train Loss: 235.4058, Val Loss: 599.4901
Epoch 22, Train Loss: 225.4159, Val Loss: 585.8460
Epoch 23, Train Loss: 213.1622, Val Loss: 555.7636
Epoch 24, Train Loss: 202.9748, Val Loss: 556.3059
Epoch 25, Train Loss: 193.0439, Val Loss: 543.8581
Epoch 26, Train Loss: 184.6448, Val Loss: 503.6042
Epoch 27, Train Loss: 177.1919, Val Loss: 502.4315
Epoch 28, Train Loss: 169.0039, Val Loss: 481.4066
Epoch 29, Train Loss: 162.6283, Val Loss: 462.1549
Epoch 30, Train Loss: 156.9396, Val Loss: 454.9622
Epoch 31, Train Loss: 150.7187, Val Loss: 473.5396
Epoch 32, Train Loss: 145.5177, Val Loss: 462.8716
Epoch 33, Train Loss: 141.2107, Val Loss: 440.5892
Epoch 34, Train Loss: 136.6528, Val Loss: 434.2745
Epoch 35, Train Loss: 132.5768, Val Loss: 463.8597
Epoch 36, Train Loss: 127.1331, Val Loss: 441.6111
Epoch 37, Train Loss: 122.2125, Val Loss: 417.6914
Epoch 38, Train Loss: 117.8351, Val Loss: 422.1095
Epoch 39, Train Loss: 112.7262, Val Loss: 432.9988
Epoch 40, Train Loss: 107.1550, Val Loss: 460.4951
Epoch 41, Train Loss: 101.5225, Val Loss: 430.9041
Epoch 42, Train Loss: 95.9500, Val Loss: 408.3915
Epoch 43, Train Loss: 90.8886, Val Loss: 425.6917
Epoch 44, Train Loss: 86.1785, Val Loss: 413.8967
Epoch 45, Train Loss: 82.7982, Val Loss: 413.2893
Epoch 46, Train Loss: 79.0205, Val Loss: 415.9589
Epoch 47, Train Loss: 75.9396, Val Loss: 409.1177
Epoch 48, Train Loss: 72.2120, Val Loss: 423.0402
Epoch 49, Train Loss: 69.7167, Val Loss: 416.5321
Epoch 50, Train Loss: 67.5927, Val Loss: 403.0807
Epoch 51, Train Loss: 65.9044, Val Loss: 430.5638
Epoch 52, Train Loss: 63.1350, Val Loss: 380.0935
Epoch 53, Train Loss: 61.0650, Val Loss: 399.6402
Epoch 54, Train Loss: 59.4431, Val Loss: 425.2985
Epoch 55, Train Loss: 56.8285, Val Loss: 394.6190
Epoch 56, Train Loss: 55.8263, Val Loss: 430.9492
Epoch 57, Train Loss: 53.5744, Val Loss: 383.8700
Epoch 58, Train Loss: 52.8197, Val Loss: 414.0545
Epoch 59, Train Loss: 50.6101, Val Loss: 358.8506
Epoch 60, Train Loss: 49.0020, Val Loss: 362.9581
Epoch 61, Train Loss: 46.8486, Val Loss: 363.4359
Epoch 62, Train Loss: 45.5852, Val Loss: 333.7556
Epoch 63, Train Loss: 44.2892, Val Loss: 364.1248
Epoch 64, Train Loss: 42.4653, Val Loss: 381.2651
Epoch 65, Train Loss: 41.3291, Val Loss: 338.6173
Epoch 66, Train Loss: 40.7263, Val Loss: 382.3892
Epoch 67, Train Loss: 38.8404, Val Loss: 365.2120
Epoch 68, Train Loss: 38.1555, Val Loss: 347.7434
Epoch 69, Train Loss: 36.7037, Val Loss: 353.8732
Epoch 70, Train Loss: 35.7876, Val Loss: 360.3558
Epoch 71, Train Loss: 34.4850, Val Loss: 357.6356
Epoch 72, Train Loss: 33.3672, Val Loss: 373.4374
Epoch 73, Train Loss: 32.9255, Val Loss: 337.1269
Epoch 74, Train Loss: 31.6719, Val Loss: 335.3251
Epoch 75, Train Loss: 30.5360, Val Loss: 338.4817
Epoch 76, Train Loss: 29.5715, Val Loss: 343.8412
Epoch 77, Train Loss: 28.8570, Val Loss: 339.3773
Epoch 78, Train Loss: 27.9633, Val Loss: 342.9428
Epoch 79, Train Loss: 27.4507, Val Loss: 336.7441
Epoch 80, Train Loss: 26.4854, Val Loss: 341.6519
Epoch 81, Train Loss: 25.8190, Val Loss: 350.5076
Epoch 82, Train Loss: 24.4166, Val Loss: 311.2897
Epoch 83, Train Loss: 23.7135, Val Loss: 305.3905
Epoch 84, Train Loss: 22.6795, Val Loss: 322.1826
Epoch 85, Train Loss: 22.1938, Val Loss: 337.0588
Epoch 86, Train Loss: 22.5894, Val Loss: 323.2390
Epoch 87, Train Loss: 20.4631, Val Loss: 334.1910
Epoch 88, Train Loss: 19.9407, Val Loss: 308.4454
Epoch 89, Train Loss: 19.6075, Val Loss: 326.5714
Epoch 90, Train Loss: 18.6056, Val Loss: 299.2332
Epoch 91, Train Loss: 18.3401, Val Loss: 296.3054
Epoch 92, Train Loss: 17.2357, Val Loss: 296.6506
Epoch 93, Train Loss: 16.5073, Val Loss: 303.1686
Epoch 94, Train Loss: 16.0453, Val Loss: 342.5861
Epoch 95, Train Loss: 15.4345, Val Loss: 322.3216
Epoch 96, Train Loss: 15.1187, Val Loss: 301.6624
Epoch 97, Train Loss: 14.3309, Val Loss: 288.8769
Epoch 98, Train Loss: 15.6564, Val Loss: 309.0680
Epoch 99, Train Loss: 13.1162, Val Loss: 313.0490
Epoch 100, Train Loss: 12.4259, Val Loss: 303.4467
Epoch 101, Train Loss: 12.2837, Val Loss: 275.3210
Epoch 102, Train Loss: 11.8344, Val Loss: 296.3476
Epoch 103, Train Loss: 11.1372, Val Loss: 305.5708
Epoch 104, Train Loss: 10.7053, Val Loss: 295.9879
Epoch 105, Train Loss: 10.4532, Val Loss: 305.1775
Epoch 106, Train Loss: 9.7157, Val Loss: 306.5150
Epoch 107, Train Loss: 9.5501, Val Loss: 283.4996
Epoch 108, Train Loss: 9.0687, Val Loss: 316.6542
Epoch 109, Train Loss: 9.9239, Val Loss: 311.7677
Epoch 110, Train Loss: 8.3067, Val Loss: 301.3766
Epoch 111, Train Loss: 7.6915, Val Loss: 311.9266
Epoch 112, Train Loss: 7.6315, Val Loss: 312.2772
Epoch 113, Train Loss: 7.2818, Val Loss: 292.4181
Epoch 114, Train Loss: 6.7725, Val Loss: 296.6802
Epoch 115, Train Loss: 6.6162, Val Loss: 309.2117
Epoch 116, Train Loss: 6.6507, Val Loss: 303.2328
Epoch 117, Train Loss: 5.8005, Val Loss: 297.1689
Epoch 118, Train Loss: 6.2549, Val Loss: 317.6333
Epoch 119, Train Loss: 5.5602, Val Loss: 310.2934
Epoch 120, Train Loss: 5.4205, Val Loss: 310.0716
Epoch 121, Train Loss: 4.9811, Val Loss: 308.0286
Epoch 122, Train Loss: 4.8907, Val Loss: 288.0149
Epoch 123, Train Loss: 4.0978, Val Loss: 295.6245
Epoch 124, Train Loss: 4.0383, Val Loss: 326.7568
Epoch 125, Train Loss: 3.8936, Val Loss: 305.4258
Epoch 126, Train Loss: 4.2689, Val Loss: 298.3292
Epoch 127, Train Loss: 3.9315, Val Loss: 309.1907
Epoch 128, Train Loss: 3.6181, Val Loss: 308.4587
Epoch 129, Train Loss: 3.8707, Val Loss: 297.5894
Epoch 130, Train Loss: 3.0561, Val Loss: 306.2636
Epoch 131, Train Loss: 3.0993, Val Loss: 316.2405
Epoch 132, Train Loss: 2.8925, Val Loss: 310.4787
Epoch 133, Train Loss: 2.4565, Val Loss: 290.7964
Epoch 134, Train Loss: 2.9537, Val Loss: 305.7095
Epoch 135, Train Loss: 2.5497, Val Loss: 309.0315
Epoch 136, Train Loss: 2.1877, Val Loss: 293.6986
Epoch 137, Train Loss: 2.5328, Val Loss: 296.6525
Epoch 138, Train Loss: 2.0080, Val Loss: 328.5452
Epoch 139, Train Loss: 1.9683, Val Loss: 295.0252
Epoch 140, Train Loss: 2.2667, Val Loss: 335.1666
Epoch 141, Train Loss: 3.7345, Val Loss: 293.1236
Epoch 142, Train Loss: 2.3639, Val Loss: 291.6154
Epoch 143, Train Loss: 1.8490, Val Loss: 283.9150
Epoch 144, Train Loss: 1.4030, Val Loss: 297.7332
Epoch 145, Train Loss: 1.9760, Val Loss: 331.5218
Epoch 146, Train Loss: 1.3915, Val Loss: 281.7384
Epoch 147, Train Loss: 1.4900, Val Loss: 290.4164
Epoch 148, Train Loss: 1.4818, Val Loss: 292.6872
Epoch 149, Train Loss: 1.2767, Val Loss: 307.5016
Epoch 150, Train Loss: 1.2410, Val Loss: 313.2222
Epoch 151, Train Loss: 2.3676, Val Loss: 331.8774
Epoch 152, Train Loss: 1.5035, Val Loss: 319.9403
Epoch 153, Train Loss: 1.0678, Val Loss: 291.2560
Epoch 154, Train Loss: 1.1163, Val Loss: 290.9346
Epoch 155, Train Loss: 1.2403, Val Loss: 299.9183
Epoch 156, Train Loss: 1.0833, Val Loss: 326.5562
Epoch 157, Train Loss: 1.6230, Val Loss: 314.2729
Epoch 158, Train Loss: 3.1330, Val Loss: 331.0940
Epoch 159, Train Loss: 1.3682, Val Loss: 297.5975
Epoch 160, Train Loss: 0.9030, Val Loss: 314.0773
Epoch 161, Train Loss: 0.9710, Val Loss: 295.4252
Epoch 162, Train Loss: 1.2276, Val Loss: 305.5319
Epoch 163, Train Loss: 1.3909, Val Loss: 302.9643
Epoch 164, Train Loss: 1.1489, Val Loss: 281.6689
Epoch 165, Train Loss: 1.5400, Val Loss: 302.9143
Epoch 166, Train Loss: 1.1329, Val Loss: 317.1943
Epoch 167, Train Loss: 1.1588, Val Loss: 305.8631
Epoch 168, Train Loss: 1.5296, Val Loss: 308.2636
Epoch 169, Train Loss: 1.4732, Val Loss: 314.2018
Epoch 170, Train Loss: 0.7994, Val Loss: 297.7437
Epoch 171, Train Loss: 0.8128, Val Loss: 306.0373
Epoch 172, Train Loss: 0.8832, Val Loss: 322.4905
Epoch 173, Train Loss: 1.4925, Val Loss: 312.1409
Epoch 174, Train Loss: 0.9731, Val Loss: 298.1642
Epoch 175, Train Loss: 0.8743, Val Loss: 294.8944
Epoch 176, Train Loss: 1.1983, Val Loss: 281.7316
Epoch 177, Train Loss: 1.0802, Val Loss: 309.6130
Epoch 178, Train Loss: 1.3063, Val Loss: 303.5236
Epoch 179, Train Loss: 0.8724, Val Loss: 291.6779
Epoch 180, Train Loss: 0.8483, Val Loss: 305.2443
Epoch 181, Train Loss: 0.9877, Val Loss: 306.7225
Epoch 182, Train Loss: 4.1152, Val Loss: 272.5668
Epoch 183, Train Loss: 0.9736, Val Loss: 265.8968
Epoch 184, Train Loss: 0.8970, Val Loss: 284.5400
Epoch 185, Train Loss: 0.8687, Val Loss: 287.2535
Epoch 186, Train Loss: 0.7522, Val Loss: 297.7365
Epoch 187, Train Loss: 1.1319, Val Loss: 285.1645
Epoch 188, Train Loss: 0.8467, Val Loss: 276.9410
Epoch 189, Train Loss: 1.2090, Val Loss: 282.2344
Epoch 190, Train Loss: 0.9076, Val Loss: 320.5781
Epoch 191, Train Loss: 0.9635, Val Loss: 296.9877
Epoch 192, Train Loss: 0.7702, Val Loss: 271.6466
Epoch 193, Train Loss: 1.4595, Val Loss: 294.0869
Epoch 194, Train Loss: 0.9069, Val Loss: 287.7851
Epoch 195, Train Loss: 0.7441, Val Loss: 308.0027
Epoch 196, Train Loss: 0.6405, Val Loss: 305.1929
Epoch 197, Train Loss: 0.8528, Val Loss: 301.3076
Epoch 198, Train Loss: 0.7802, Val Loss: 300.7447
Epoch 199, Train Loss: 1.0437, Val Loss: 308.3989
Epoch 200, Train Loss: 0.9926, Val Loss: 291.9153
Epoch 201, Train Loss: 0.7354, Val Loss: 302.9804
Epoch 202, Train Loss: 0.7229, Val Loss: 283.5934
Epoch 203, Train Loss: 0.8426, Val Loss: 287.9705
Epoch 204, Train Loss: 1.1908, Val Loss: 288.2962
Epoch 205, Train Loss: 1.0558, Val Loss: 294.2161
Epoch 206, Train Loss: 0.7795, Val Loss: 290.7853
Epoch 207, Train Loss: 0.8228, Val Loss: 302.0445
Epoch 208, Train Loss: 0.6998, Val Loss: 300.0521
Epoch 209, Train Loss: 0.7054, Val Loss: 299.9831
Epoch 210, Train Loss: 0.7511, Val Loss: 293.5946
Epoch 211, Train Loss: 0.9777, Val Loss: 294.1508
Epoch 212, Train Loss: 2.3940, Val Loss: 285.2975
Epoch 213, Train Loss: 0.7302, Val Loss: 285.3157
Epoch 214, Train Loss: 0.6520, Val Loss: 275.7049
Epoch 215, Train Loss: 0.7905, Val Loss: 292.8433
Epoch 216, Train Loss: 1.2358, Val Loss: 284.2955
Epoch 217, Train Loss: 0.5525, Val Loss: 298.1302
Epoch 218, Train Loss: 0.5149, Val Loss: 291.8978
Epoch 219, Train Loss: 0.5931, Val Loss: 311.1536
